"","msa","house_index","hs_proportion","bachelor_proportion","weekly_wage","annual_wage","pop","percent_white","percent_black","percent_asian","percent_amerindian","percent_hpi","percent_other"
"1","Abilene, TX",235.595,0.88,0.24,879,45709,176579,0.703826616,0.078876877,0.00827958,0.017504913,0.001149627,0.079216668
"2","Akron, OH",193.75125,0.92,0.32,1006,52326,702219,0.769839608,0.124979529,0.001889724,0.037090993,0.000293356,0.009482797
"3","Albany-Schenectady-Troy, NY",213.79,0.92,0.39,1203,62547,128610,0.837415442,0.005295078,0.013428194,0.011484332,0.002293756,0.036668999
"4","Albany, GA",164.835,0.86,0.21,836,43455,899262,0.759741877,0.08646201,0.003260451,0.05149556,0.000471498,0.025915695
"5","Albany-Lebanon, OR",284.5,0.9,0.2,894,46480,148922,0.41449215,0.525113818,0.002128631,0.011260929,0.000369321,0.013443279
"6","Albuquerque, NM",230.7375,0.9,0.33,964,50137,916528,0.52798387,0.028124618,0.065629201,0.025419845,0.001230732,0.145147775
"7","Alexandria, LA",219.165,0.86,0.2,828,43034,152192,0.625650494,0.28642767,0.008095038,0.012451377,0.000269397,0.015690706
"8","Allentown-Bethlehem-Easton, PA-NJ",203.11375,0.91,0.31,1093,56811,861889,0.729079963,0.062813193,0.003145417,0.031611959,0.000370117,0.085305648
"9","Altoona, PA",209.8,0.92,0.22,861,44793,122822,0.925062285,0.020623341,0.001335266,0.007148556,0.000105844,0.006350654
"10","Amarillo, TX",210.665,0.86,0.24,977,50798,268691,0.653918442,0.065580909,0.010201309,0.033317082,0.00040567,0.096262994
"11","Ames, IA",218.28,0.96,0.45,1003,52173,125252,0.846206049,0.026506563,0.003105739,0.044398493,0.000295404,0.0230655
"12","Anchorage, AK",238.7875,0.94,0.33,1162,60416,398328,0.621299532,0.039407222,0.076582615,0.073318973,0.026377759,0.029704163
"13","Ann Arbor, MI",225.06,0.96,0.57,1245,64746,372258,0.692229583,0.115025063,0.003196708,0.090345943,0.000539948,0.019956589
"14","Anniston-Oxford, AL",186.1175,0.85,0.19,770,40034,116441,0.692075815,0.219501722,0.004182376,0.010219768,0.001021977,0.021221048
"15","Appleton, WI",198.5,0.94,0.3,987,51340,243147,0.865764332,0.014382246,0.013962747,0.03247007,0.000633362,0.021534298
"16","Asheville, NC",313.7775,0.91,0.37,869,45165,469015,0.829037451,0.041740669,0.004780231,0.010929288,0.002407172,0.045196849
"17","Athens-Clarke County, GA",244.2275,0.89,0.4,898,46675,215415,0.670445419,0.179235429,0.003676624,0.035740315,0.000454936,0.047155491
"18","Atlanta-Sandy Springs-Alpharetta, GA",262.869375,0.9,0.4,1291,67107,6089815,0.455391338,0.336334027,0.004996047,0.06555388,0.000497716,0.060020542
"19","Atlantic City-Hammonton, NJ",223.0525,0.88,0.29,948,49321,274534,0.571135087,0.151234455,0.004564098,0.079349006,0.001245747,0.099047841
"20","Auburn-Opelika, AL",216.8625,0.9,0.36,743,38654,174241,0.64078489,0.227099248,0.004132208,0.049196228,0.000688701,0.025206467
"21","Augusta-Richmond County, GA-SC",198.895,0.88,0.27,989,51413,611000,0.535777414,0.347905074,0.003489362,0.021767594,0.001463175,0.025919804
"22","Austin-Round Rock-Georgetown, TX",459.62,0.91,0.46,1427,74208,2283371,0.573347914,0.070106435,0.009193863,0.070842627,0.000895168,0.110925469
"23","Bakersfield, CA",229.96625,0.75,0.17,928,48239,909235,0.408842598,0.055134261,0.019976134,0.051446546,0.001658537,0.301520509
"24","Baltimore-Columbia-Towson, MD",251.6725,0.91,0.41,1283,66696,2844510,0.538986328,0.285116945,0.003743,0.06345803,0.000468622,0.039846933
"25","Bangor, ME",215.81,0.93,0.29,918,47743,152199,0.915321388,0.009901511,0.009402164,0.012253694,0.000302236,0.005919881
"26","Barnstable Town, MA",334.9825,0.96,0.45,1024,53247,228996,0.857914549,0.028834565,0.005345072,0.014074482,0.000353718,0.024122692
"27","Baton Rouge, LA",259.015,0.88,0.29,1103,57348,870569,0.547053709,0.347447474,0.003181827,0.020560116,0.000275682,0.030122828
"28","Battle Creek, MI",192.8625,0.91,0.21,1092,56766,134310,0.764738292,0.10805599,0.006544561,0.027860919,0.000260591,0.021152558
"29","Bay City, MI",174.1775,0.91,0.2,951,49445,103856,0.89840741,0.016416962,0.004458096,0.00518025,4.81436e-05,0.012989139
"30","Beaumont-Port Arthur, TX",224.935,0.86,0.18,1121,58303,397565,0.563057613,0.241439765,0.006300856,0.02918768,0.000417542,0.080892433
"31","Beckley, WV",201.56,0.86,0.18,793,41241,115079,0.873382633,0.065407242,0.002085524,0.008133543,0.000156414,0.005344155
"32","Bellingham, WA",320.3825,0.93,0.35,976,50772,226847,0.775615283,0.01034618,0.027670633,0.044642424,0.003195987,0.042724832
"33","Bend, OR",368.2925,0.94,0.37,998,51893,198253,0.853137153,0.004474081,0.007883866,0.012514313,0.001371984,0.03355813
"34","Billings, MT",266.0475,0.95,0.32,978,50873,184167,0.857379444,0.007319444,0.040322099,0.007417181,0.001259726,0.016284133
"35","Binghamton, NY",193.7575,0.91,0.28,996,51807,247138,0.822338127,0.05315249,0.002553229,0.039455689,0.000412725,0.017698614
